from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,balance_in_val,balance_in_total,turn_deb_rub,turn_deb_val,turn_deb_total,turn_cre_rub,turn_cre_val,turn_cre_total,balance_out_rub,balance_out_val,balance_out_total
2018-01-01,2018-01-31,А,30222,А,129554.00000000,0E-8,129554.00000000,0E-8,0E-8,0E-8,93819.58000000,0E-8,93819.58000000,35734.42000000,0E-8,35734.42000000
2018-01-01,2018-01-31,А,30345,П,215769.47000000,654691.48000000,870460.95000000,0E-8,5595511.51749600,5595511.51749600,0E-8,0E-8,0E-8,215769.47000000,37822525.41594600,38038294.88594600
2018-01-01,2018-01-31,А,30413,А,185530.94000000,0E-8,185530.94000000,2098780.35000000,0E-8,2098780.35000000,2382487.14000000,0E-8,2382487.14000000,-98175.85000000,0E-8,-98175.85000000
2018-01-01,2018-01-31,А,30114,А,0E-8,22228096.19000000,22228096.19000000,0E-8,1464972651.18680107,1464972651.18680107,0E-8,2199251369.68591323,2199251369.68591323,0E-8,731052155.65870665,731052155.65870665
2018-01-01,2018-01-31,А,30220,П,0E-8,21011126.46000000,21011126.46000000,0E-8,251131748.61893800,251131748.61893800,0E-8,162558540.25700800,162558540.25700800,0E-8,1353273900.92669016,1353273900.92669016
2018-01-01,2018-01-31,А,30223,П,302098.75000000,0E-8,302098.75000000,6349676.77000000,0E-8,6349676.77000000,15781776.55000000,0E-8,15781776.55000000,9734198.53000000,0E-8,9734198.53000000
2018-01-01,2018-01-31,А,30424,А,7855306.53000000,0E-8,7855306.53000000,4414156.66000000,0E-8,4414156.66000000,9299232.48000000,0E-8,9299232.48000000,2970230.71000000,0E-8,2970230.71000000
2018-01-01,2018-01-31,А,30111,П,125006707.42000000,0E-8,125006707.42000000,262884223.88999997,0E-8,262884223.88999997,172294943.55999999,0E-8,172294943.55999999,34417427.09000002,0E-8,34417427.09000002
2018-01-01,2018-01-31,А,30204,А,5541.83000000,0E-8,5541.83000000,149647.04000000,0E-8,149647.04000000,0E-8,0E-8,0E-8,155188.87000000,0E-8,155188.87000000
2018-01-01,2018-01-31,А,30102,А,200079650.12000000,0E-8,200079650.12000000,625440427.12000000,0E-8,625440427.12000000,787848410.29999950,0E-8,787848410.29999950,37671666.94000050,0E-8,37671666.94000050
2018-01-01,2018-01-31,А,30236,П,39070.65000000,101905.92000000,140976.57000000,0E-8,134845152.11511300,134845152.11511300,0E-8,249074167.07623700,249074167.07623700,39070.65000000,121366791.44183700,121405862.09183700
2018-01-01,2018-01-31,А,30110,А,1347893.83000000,248922.80000000,1596816.63000000,373332.34000000,0E-8,373332.34000000,1083668.65000000,0E-8,1083668.65000000,637557.52000000,14991762.99915000,15629320.51915000
2018-01-01,2018-01-31,А,30221,А,69885.07000000,334988.55000000,404873.62000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,69885.07000000,21388015.11099000,21457900.18099000
2018-01-01,2018-01-31,А,30425,А,87620.47000000,78318.13000000,165938.60000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,87620.47000000,4408637.18308200,4496257.65308200
2018-01-01,2018-01-31,А,30232,П,86904.66000000,65593.48000000,152498.14000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,86904.66000000,4561528.02355200,4648432.68355200
2018-01-01,2018-01-31,А,30109,П,63891.96000000,0E-8,63891.96000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,63891.96000000,0E-8,63891.96000000
2018-01-01,2018-01-31,А,30233,А,58966.57000000,84241.58000000,143208.15000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,58966.57000000,5858361.65299200,5917328.22299200
2018-01-01,2018-01-31,А,30126,П,67224.06000000,0E-8,67224.06000000,0E-8,0E-8,0E-8,0E-8,0E-8,0E-8,67224.06000000,0E-8,67224.06000000
